txn_id,from,to,amount,timestamp,ring_id,pattern
TXN_0038,ACC_020,ACC_030,1085.3,2026-08-01T19:36:10.124645,,
TXN_0150,ACC_027,ACC_007,13466.09,2026-08-02T01:22:54.219304,,
TXN_0202,ACC_012,ACC_040,5814.17,2026-08-02T06:45:51.010662,,
TXN_0137,ACC_025,ACC_037,8029.83,2026-08-02T06:58:42.451669,,
TXN_0019,ACC_035,ACC_034,13182.06,2026-08-02T08:06:52.721830,,
TXN_0153,ACC_006,ACC_014,1996.77,2026-08-02T09:29:44.840862,,
TXN_0124,ACC_013,ACC_016,6970.56,2026-08-02T15:52:16.184577,,
TXN_0034,ACC_021,ACC_004,340.4,2026-08-02T16:51:18.691600,,
TXN_0062,ACC_016,ACC_020,828.99,2026-08-02T22:54:22.242476,,
TXN_0189,ACC_023,ACC_033,407.73,2026-08-03T00:37:59.897209,,
TXN_0256,ACC_026,ACC_004,6309.14,2026-08-03T01:09:43.684450,,
TXN_0113,ACC_019,ACC_026,12351.64,2026-08-03T02:26:22.948734,,
TXN_0213,ACC_020,ACC_008,10137.03,2026-08-03T03:44:07.113855,,
TXN_0097,ACC_036,ACC_019,5146.75,2026-08-03T03:59:54.757183,,
TXN_0075,ACC_009,ACC_040,1695.55,2026-08-03T04:35:46.418645,,
TXN_0227,ACC_023,ACC_040,2994.82,2026-08-03T05:07:15.773028,,
TXN_0165,ACC_017,ACC_024,14675.96,2026-08-03T05:47:51.765447,,
TXN_0020,ACC_020,ACC_016,362.19,2026-08-03T06:49:59.199463,,
TXN_0144,ACC_015,ACC_026,16677.99,2026-08-03T06:58:56.779444,,
TXN_0081,ACC_039,ACC_008,5784.02,2026-08-03T07:05:52.987342,,
TXN_0043,ACC_014,ACC_017,1615.15,2026-08-03T08:41:03.286567,,
TXN_0179,ACC_025,ACC_035,11504.46,2026-08-03T09:00:30.221896,,
TXN_0147,ACC_005,ACC_030,8137.23,2026-08-03T11:53:34.784069,,
TXN_0212,ACC_006,ACC_002,17194.37,2026-08-03T14:57:09.415715,,
TXN_0054,ACC_017,ACC_012,1825.65,2026-08-03T17:03:51.890406,,
TXN_0257,ACC_036,ACC_018,2510.87,2026-08-03T19:10:00.136459,,
TXN_0061,ACC_011,ACC_006,14285.52,2026-08-03T21:54:54.506653,,
TXN_0157,ACC_016,ACC_038,1106.56,2026-08-04T01:59:21.693829,,
TXN_0156,ACC_009,ACC_035,901.83,2026-08-04T03:01:35.912641,,
TXN_0039,ACC_037,ACC_007,6623.62,2026-08-04T03:08:03.564614,,
TXN_0069,ACC_005,ACC_019,856.58,2026-08-04T03:17:26.889063,,
TXN_0012,ACC_037,ACC_021,11486.93,2026-08-04T03:21:30.273305,,
TXN_0014,ACC_009,ACC_033,1581.84,2026-08-04T08:52:17.734774,,
TXN_0228,ACC_024,ACC_033,2443.07,2026-08-04T14:32:33.366244,,
TXN_0173,ACC_006,ACC_034,10137.15,2026-08-04T14:48:48.858836,,
TXN_0168,ACC_019,ACC_039,1074.86,2026-08-04T17:33:23.594909,,
TXN_0247,ACC_016,ACC_026,1032.81,2026-08-04T17:38:50.881937,,
TXN_0241,ACC_033,ACC_004,11807.74,2026-08-04T18:43:51.694652,,
TXN_0141,ACC_024,ACC_009,8016.88,2026-08-04T19:41:39.950339,,
TXN_0044,ACC_018,ACC_003,16109.03,2026-08-04T20:02:28.925976,,
TXN_0174,ACC_021,ACC_037,1869.43,2026-08-04T22:09:45.736230,,
TXN_0018,ACC_033,ACC_007,2637.45,2026-08-04T23:19:52.501983,,
TXN_0099,ACC_008,ACC_005,1321.98,2026-08-04T23:56:16.156802,,
TXN_0296,SMURF2_SRC,SMURF2_M0,13019.49,2026-08-05T04:51:43.794508,smurf_2,smurfing
TXN_0298,SMURF2_SRC,SMURF2_M1,13839.78,2026-08-05T05:11:43.794508,smurf_2,smurfing
TXN_0300,SMURF2_SRC,SMURF2_M2,13599.61,2026-08-05T05:31:43.794508,smurf_2,smurfing
TXN_0302,SMURF2_SRC,SMURF2_M3,13486.97,2026-08-05T05:51:43.794508,smurf_2,smurfing
TXN_0304,SMURF2_SRC,SMURF2_M4,12922.61,2026-08-05T06:11:43.794508,smurf_2,smurfing
TXN_0306,SMURF2_SRC,SMURF2_M5,13805.25,2026-08-05T06:31:43.794508,smurf_2,smurfing
TXN_0308,SMURF2_SRC,SMURF2_M6,13765.97,2026-08-05T06:51:43.794508,smurf_2,smurfing
TXN_0132,ACC_034,ACC_027,1784.6,2026-08-05T06:51:45.928213,,
TXN_0310,SMURF2_SRC,SMURF2_M7,12541.84,2026-08-05T07:11:43.794508,smurf_2,smurfing
TXN_0312,SMURF2_SRC,SMURF2_M8,13736.11,2026-08-05T07:31:43.794508,smurf_2,smurfing
TXN_0233,ACC_029,ACC_014,7854.81,2026-08-05T08:08:50.517186,,
TXN_0260,ACC_010,ACC_039,5376.28,2026-08-05T09:40:32.911764,,
TXN_0305,SMURF2_M4,SMURF2_COL,12858.0,2026-08-05T11:08:01.595676,smurf_2,smurfing
TXN_0301,SMURF2_M2,SMURF2_COL,13531.61,2026-08-05T11:12:45.703378,smurf_2,smurfing
